name,price,brand,category,product_id,displayed_price,image_url,product_url,page_number,page_url
Friteuse Air Fryer MDF digital power 5L 12 programmes sans PFOA – 2 ans de garantie,60.33,Mellerware,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Air Fryers,ME675HA0YJCJCNAFAMZ,629.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/009656/1.jpg?6851,https://www.jumia.ma/mellerware-friteuse-air-fryer-mdf-digital-power-5l-12-programmes-sans-pfoa-2-ans-de-garantie-65690085.html,1,https://www.jumia.ma/mlp-electromenager/
Air fryer sans huile 4L 1200W - 12 mois garantie,46.90,Royal,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Air Fryers,RO663HA02RWBYNAFAMZ,489.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/660846/1.jpg?4757,https://www.jumia.ma/royal-air-fryer-sans-huile-4l-1200w-12-mois-garantie-64806640.html,1,https://www.jumia.ma/mlp-electromenager/
"Bouilloire en acier inoxydable 1,7 Litres",21.00,Daiko,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Slow Cookers,DA150HA0KRYNMNAFAMZ,219.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/896946/1.jpg?5404,https://www.jumia.ma/daiko-bouilloire-en-acier-inoxydable-17-litres-64969843.html,1,https://www.jumia.ma/mlp-electromenager/
Friteuse à air sans huile AIR FRYER MDF5S DIGITAL 8programmes5L - 2 ans de garantie,57.45,Mellerware,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Air Fryers,ME675HA1FN9LCNAFAMZ,599.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/745936/1.jpg?7140,https://www.jumia.ma/mellerware-friteuse-a-air-sans-huile-air-fryer-mdf5s-digital-8programmes5l-2-ans-de-garantie-63954768.html,1,https://www.jumia.ma/mlp-electromenager/
Batteur Mixeur Mélangeur MHM-301 5 Vitesses 2 Fouets Métalliques-2ans de garantie,5.08,Mellerware,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Mixers,ME675HA157AH6NAFAMZ,53.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/204426/1.jpg?6767,https://www.jumia.ma/mellerware-batteur-mixeur-melangeur-mhm-301-5-vitesses-2-fouets-metalliques-2ans-de-garantie-62440296.html,1,https://www.jumia.ma/mlp-electromenager/
"Bouilloire Electrique élégant 1,8L 1500W BG1500/",8.54,Kenz,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Slow Cookers,KE402HA0CCM7SNAFAMZ,89.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/744056/1.jpg?5699,https://www.jumia.ma/bouilloire-electrique-elegant-18l-1500w-bg1500-kenz-mpg1460090.html,1,https://www.jumia.ma/mlp-electromenager/
Robot Pétrin Black 1000W 6 vitesses + Bol en inox 5L - 2 ans de garantie,57.45,Mellerware,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Bread Machines,ME675HA1BGI63NAFAMZ,599.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/711995/1.jpg?1127,https://www.jumia.ma/robot-petrin-black-1000w-6-vitesses-bol-en-inox-5l-2-ans-de-garantie-mellerware-mpg1398045.html,1,https://www.jumia.ma/mlp-electromenager/
Panini grill multifonction appareil à sandwichs 750 W – 2 ans de garantie,12.37,Mellerware,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Waffle Irons,ME675HA0RF2UCNAFAMZ,129.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/053156/1.jpg?2521,https://www.jumia.ma/panini-grill-multifonction-appareil-a-sandwichs-750-w-2-ans-de-garantie-mellerware-mpg1460111.html,1,https://www.jumia.ma/mlp-electromenager/
Bouilloire en verre cristal MKE 1818 BL4 1.8L puissance 1500w – 2 ans de garantie,12.37,Mellerware,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Slow Cookers,ME675HA13BQXWNAFAMZ,129.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/053156/1.jpg?2486,https://www.jumia.ma/mellerware-bouilloire-en-verre-cristal-mke-1818-bl4-1.8l-puissance-1500w-2-ans-de-garantie-65135066.html,1,https://www.jumia.ma/mlp-electromenager/
Blender 2 Bols en plastique incassable 350W 1.25 Litres,12.95,Kenz,Home & Office/Home & Kitchen/Kitchen & Dining/Small Appliances/Blenders,KE402HA1C2MIGNAFAMZ,135.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/744056/1.jpg?5657,https://www.jumia.ma/kenz-blender-2-bols-en-plastique-incassable-350w-1.25-litres-65044708.html,1,https://www.jumia.ma/mlp-electromenager/
